Title,,,,cities,categories,Question
GMATのおすすめの教材を教えてください。,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,留学,"初めまして、ニューヨークで留学中の大学生です。

GMATの勉強を始めたいのですが、どの教材が良いのか見極めることができません。
もし宜しければ、おすすめの教材、オンラインコース、もしくはニューヨークシティにあるアフタースクールを教えて頂けますか？

宜しくお願い致します。"
結婚生活,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,日本人の男性でアメリカの女性と結婚した方いらっしゃいますか？ 又、K1VISAを取得された方いらっしゃいましたらグリーンカード申請中なにをなさってましたか？ 5ヶ月くらい働けなくて暇死にしそうです。 アドバイス御願いします。
hawaii生まれのシンガーLAHIKIさんのアロハという歌,,,,ホノルル/日本,音楽,hawaii生まれのシンガーLAHIKIさんのアロハという歌がとても良いのですがyoutubeでしか聞く事が出来ないでしょうか？ CDが売っていますか？もしわかる方教えて下さい。hawaiiに行けない今hawaiiを感じれるとても爽やかな良い歌です。 ご存じの方がおられましたら教えて下さい。
日本人対応窓口について教えてください。,,,,フェニックス/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル/フロリダ,生活,"Firth Third Bank の日本人対応窓口を探しています。
以前、シカゴに住んでいた際、日本人の男性Bankerの方がいて、口座開設など色々とお世話になりました。
今日本に帰国している為、口座に関しての手続き等，事務手続きを日本からしたいと思っております。宜しくお願いします。


-- 2020-11-13 追記 --

#誤字: Fifth Third Bank の誤りです。
すみません。
宜しくお願い致します。"
仕事やボランティアしたのですが...,,,,ロサンゼルス,仕事,英語の勉強をしています、理解が十分ではないですが、仕事やボランティアなど出来ますか。
NYCでの日本からの旅行者に対するJ＆Jワクチン接種の現状について教えて下さい,,,,ニューヨーク,生活,"こんにちわ。東京在住のYoheiと申します。
昨日、メディアでNYCにて海外観光客向けにJ＆J製のワクチンの接種が始まったと見ました。
実際の所、ニューヨークではどんな感じなのでしょうか？
もし、簡単にワクチン接種出来るなら、来週にでも行ってワクチン接種が出来たらと思っております。

行って、なにも出来ないのも悲しいので日本からの旅行者のワクチン接種の可否もしお分かりになる方いらっしゃれば教えてください。

お手数おかけますが、情報どうぞ、宜しくお願い致します。"
I-20学生です。合法的にお金を稼ぎたいです。,,,,ロサンゼルス,仕事,"こんには、留学中の看護学生です。日本で看護師をしていました。参加出来る仕事やボランティアを探しています。お心あたりがございましたら教えてください。ちなみに、私のビザはI-20で、英語の理解は5割くらいです。よろしくお願いします。


-- 2021-05-17 追記 --

医療関係に限らず、参加出来る仕事やボランティアの情報にお心当たりがありましたら、教えて欲しいです。"
電話について,,,,ボストン,生活,"4月からの渡米に際して携帯電話、wi-fiをどうするか悩んでいます。
今考えているのはイエローモバイルですが実際の使い勝手が分からずどうしようか悩み中です。

①アメリカでは固定電話契約をした方がいいと何処かで見ましたが今でもそうなんでしょうか。
②オススメの携帯電話会社があれば教えてください。"
ショップでの購入代行をお願いしたいです。,,,,ダラス,依頼,"ダラスにあるアンティークショップでヴィンテージファンの購入と日本への発送代行をしてくださる方を探しています。
お店方に日本への発送をお願いしましたが対応できないとのことでした。
どうしても欲しいファンなので、対応できる方の連絡お待ちしています。

対応していただいた方にお支払いできる報酬は$100ぐらいで考えています。
ファンのサイズは、高さ58インチ、重量30lbぐらいかと思います。

連絡お待ちしてます。"
ペットホテル,,,,シカゴ/ノバイ/コロンバス,ペット,こんにちは。ペット(犬)を米国でペットホテルかペットシッターにお願いして日本に一時帰国(10日間程度)したいのですが、お勧めのペットホテル又はペットシッターがあれば教えていただけると助かります。日本人のペットシッターの方などもご存知でしたら情報いただけますと幸いです。
日本からアメリカ行く場合のPCR検査,,,,コロンバス,交通・飛行機,日本から家族を訪ねにコロンバスに行く予定です。 PCR検査が必要なことはわかりますが、その他の必要な書類で 州によっては、健康状態自己申告書が必要と見ました。 最近日本から渡航された人で、用意した書類についておしえていただけませんか？
日本語イマージョンスクールについて教えて下さい,,,,ノバイ,育児・子育て,ノバイ近辺にある、虹色小学校に通われてるお子さんをお持ちの方に質問です。 日本語と英語のイマージョン教育と聞いたのですが、どの程度の日本語レベルを習得出来るのでしょうか? バージニア在住で、ノバイ移住を考えているのですが、大きな理由は虹色小学校で日本語教育が出来る、と言う所なので、実際に通われている方の話を聞きたいと思い、投稿させて頂きました。中、高についても、日本語教育に関する情報があれば何でもお願いします。
NYUでの歯科治療,,,,ニューヨーク,医療,どなたかNYUで歯科治療を受けられた方はいらっしゃいませんか？ 歯科矯正とインプラントの治療をしなければなりません。 NYUでの治療を考えていますが、もし治療を受けられた方がいらっしゃったら経験談が聞きたいと思い投稿致しました。 当方、歯科保険無しです。 よろしくお願い致します。
ワシントン州　仕事探しています　看護師経験あり,,,,シアトル,仕事,ワシントン州、シアトルやタコマ周辺でビザサポートのある仕事を探しています。何かいい情報があれば教えて頂きたいです。看護師経験はあります。色々なことに挑戦してみたいです。
短期　家庭教師募集,,,,アトランタ,生活,3/26-3/31まで仕事の都合でホノルルに滞在します。 中学受験を控えた子供（来月で6年生)がいます。1日２時間ほど(14:00までのいずれかの時間)に子供も勉強をみていただけないでしょうか?なお、小学校に上がる寸前の子供もおりますが、その子も同時に見ていただければと思っております。あくまでもメインは受験をする上の子供とお考えください。なお、滞在先はワイキキの外れにあるホテルです。以上、よろしくお願いいたします。
ハリソンのデイケア、preK 、キンダーについて教えてください！,,,,ニューヨーク,育児・子育て,"ハリソン内のキンダー、プリK、デイケアについて教えてください。
現在NYCに在住しておりますが、ハリソンに引越しを考えています。どなたかご存知の方いましたら、教えてくださいますでしょうか？

・上の子が、来年度キンダーにあがるのでお勧め学校。
・下の子が2018・1月生まれなのですが、おすすめ、デイケアもしくは、プリK。協会系の学校は安いと聞いたのですが、もし学費をしってらっしゃる方がいたら教えていただけたら幸いです。
・NYCは年末、12月31日で学年を区切っていますが、ハリソンも同様でしょうか？..."
良い出産病院・産婦人科医を教えてください,,,,ロサンゼルス,医療,"信頼がおけ安心して妊娠・出産期間を過ごすことのできる産婦人科医また出産病院を探しております。

日本人・日系産婦人科医（主治医）に診ていただければ理想的ですが、限定せずに信頼がおけて評判の良い産婦人科医また出産病院を探せればと思っております。エリアは、Burbank, Beverly Hills, Santa Monica付近で探しておりましたが、他のエリアで良い産婦人科医また出産病院が見つかるようであれば、検討していきたいと思っています。

ご意見またアドバイスをお聞かせいただけますでしょうか？　

また、UCLA Medical Center Santa..."
アメリカでの別居した夫婦の婚姻費用の制度,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,恋愛,日本では夫婦が別居しても，不倫とかがないかぎり，収入が多いほうが別居相手の生活費を分担しないといけません。 アメリカでも似たような制度になっているのでしょうか？
【甲状腺・バセドウ病】病院に関して少しでも情報をお願いします!!!!,,,,サンフランシスコ/サンノゼ,医療,"サンフランシスコでバセドウ病（甲状腺）の治療ができる病院を探しています。

バセドウ病の治療を、アメリカに行っても継続しないといけなく
本当に情報がなくて困っております・・；＿；

特に、クパチーノ周辺で通える病院を探しています。
ただ、情報をできる限りたくさん収集したいので
クパチーノ周辺以外でもぜひ、うかがえると嬉しいです！！！！

薬治療（チウラジールなど）が継続できる病院か
放射性カプセルを飲むアイソトープ治療ができる病院の
両方を探しています！！！！！！


娘がいながらアメリカに行かないといけないため
できるだけ、日本を発つ前に情報を集めたく、、、..."
乳がんの抗がん剤について,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,医療,アメリカの乳がんの抗がん剤治療について教えてください。 日本では、FECをしてからパクリタキセルという順番が多いのですが、アメリカでは反対にパクリタキセルからする方式が多いと聞きました。 本当でしょうか？ また、パクリタキセルからFECやECの場合、パクリタキセル終了してECを始める時は二週間の間をあけるのでしょうか？ それとも一週間だけなのでしょうか？ 教えてください。
海外在住の国民への一律10万円給付について,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,海外在住の国民への一律10万円給付について、海外からの声が足りないため、実現が難しくなってしまう状況のようです。(この問題に取り組んでいる参議院議員の青山繫晴氏のブログより) コロナで経営が苦しい中、海外で頑張ている方々、政府 (内閣、外務省) や自由民主党のホームページに意見を送ることが実現への一歩のようです。
心理ソフトウェアの分かち合い,,,,サンフランシスコ,仕事,"貧乏性が頑張って
奴隷雇いになりたい
勉強しながら健康を活かせる道は有りますか


-- 2021-01-31 追記 --

アメリカと日本の真ん中で健康になれるように出来ているフィーリング

製品、精神。心理

政府や既得権益の仲介を待っていると百年目かかる

分かち合いましょう"
子供の予防接種,,,,ボストン,育児・子育て,生後5ヶ月の子供を連れてボストンで2年間滞在予定です。 Jビザの医療保険には子供の予防接種がカバーされているものがなく、困っています。 保険のカバーなしで予防接種(子供が接種を推奨されているもの)した際の価格はどれくらいなのでしょうか？
アメリカの大学受験時のCSS Profile,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,留学,"日本から派遣されて駐在しています。 
息子がアメリカの大学を受験予定です。 
学費減免のためのCSS Profileなどの資料の作り方を学びたいと思っているのですが、 
どのようにしたらいいでしょうか。 
（例えば、年金の価額を書くよう求められますが、厚生年金の現時点での予定年額ならわかりますが、それを書けばいいのか、それともそのｘ年分なのかなど、日米の制度の違いがあってよくわからないのです。）
ネットで見つかる情報は、ほとんどがアメリカ市民用のようです。
有益な情報ソースをご存知の方がおられたら、教えていただけたら幸いです。"
どの地域が住むのに安全なのか？,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,どの地域が住むのに安全なのか？
テキサスでPCR検査を受けるには,,,,アーバイン/ヒューストン,医療,"皆様

ご多用のところ恐縮ですが
テキサスでのPCR検査受診環境について相談させてください。

私、現在日本在住ですが
一身上の都合により短期でですが、テキサスIrving地域に訪れることになっております。
そして、日本帰国の際にテキサスでPCR検査をうけて結果を確認した上で帰国することにしております。

テキサスで、米国国籍を持っていない人間でPCR検査を受けられる病院や空港などの公的施設はありますでしょうか？その際のステップや値段感もご教示いただけますと幸いです。
また、経験者にお伺いしたいのが、検査を受けてから結果を受領するまでに何時間、何日ほどの時間がかかりますでしょうか？..."
おすすめ学校エリア,,,,ニューヨーク,育児・子育て,NYCまたはマンハッタン通勤圏で学区が良い所を探しています。 上がキンダーで、下の子が来年プリKの年齢なので出来たら無料のNYCが良いと思っています。 市外でもオススメありましたらご教示頂けたら幸いです。一軒家などは冬の雪かきなど大変と聞くのでアパートメントタイプを希望しております。 宜しくお願い致します。
メガネのフレームのアジャストのうまいメガネ屋を教えて頂けませんか,,,,ニューヨーク/ニュージャージー州,医療,メガネのフレlームのアジャストの上手なメガネ屋さん、ニュージャージーのフォートリー付近でどなたか御存ありませんでしょうか？　新しく買ったメガネ屋では上手く合わせられません。　鼻パッドも皮膚にくぼみができ、耳も少し痛みます。　　御存知の方おられましたら　何卒よろしくお願い致します。
３日以内に結果の出るコロナ検査,,,,フィラデルフィア,医療,日本に帰国するために、出発の72時間以内にコロナの検査を済ませて検査結果を受け取る必要があるのですが、私の知っているとこは４日以上かかるところばかりです。どなたか、３日以内で検査結果の出る病院を知りませんでしょうか。よろしくお願いします。
子供の学校等について,,,,ダラス,育児・子育て,今後プレイノに引っ越し予定です。 4歳の子供がいるのですが、良い学区、オススメの学校、学校を選ぶ際の注意点、住み心地の良い場所、プレイノに住むことで注意することなど教えていただけると嬉しいです。
オープンマイクのお店を教えて下さい。（ドラマーです）,,,,アトランタ,生活,こんにちは、日本でアマチュアバンドでドラム（時々ボーカル、ダンサー等）をしております40代女です。ロサンゼルスで飛び入りで演奏できるオープンマイクをしているお店を教えていただきたいです。できればジャズ以外でロック、ハードロック、ポップス系統がありがたいです。オープンマイクは未経験ですので、予約をしないといけないのか、飛び入りでも参加できるのか、楽器は貸してもらえるのか、など、教えていただけると嬉しいです。ご存知の方、どうぞよろしくお願いいたします。
ペンシルベニア大学,,,,フィラデルフィア,留学,いまフィラデルフィアに住んでいます。ペンシルベニア大学は名門なのでしょうか。日本人の出身者は知られてるひとはいますか。
ハイスクールのEsLの対応,,,,ダラス,育児・子育て,来年より現在中学二年生（14歳）の息子を連れて主人の転勤に伴いダラス近郊に住むよていがあり情報を求めています。プレイノ市、フリスコ市はレベルが高い学区と聞いていますが、息子は英語初心者のため、あまりに突然レベルの高い学校でも心配があります。EsLは学校によって丁寧さや対応に差があるようですが、で英語初心者の息子でも対応してくれそうなESLがしっかりしているハイスクールはどこでしょうか？
現地には、日本人向けの塾のようなものはあるのですか？あ...,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,現地には、日本人向けの塾のようなものはあるのですか？あるいは家庭教師のような方はいらっしゃるのでしょうか？また、そうした情報は皆さんはどのように手に入れているのでしょうか？もしよかったら、教えて下さい。
ママ友インタビュー募集（謝礼25ドル）,,,,ロサンゼルス,育児・子育て,"はじめまして。お子様をお持ちのママさんで、インタビューさせて頂ける方を募集しています。

下記情報をもとに、ご協力いただける方がいらっしゃいましたら、ご連絡頂けないでしょうか？

ご検討いただけますと幸いです。

[募集要項]
・インタビュアー募集　※１時間程度、簡単な質疑応答
・テーマ：子育てとお子様やご家族との連絡手段について
・対象：米国で子育て中のお母様
・謝礼：アマゾンギフトカード25ドル
・条件１：iPhoneをお持ちのお母様
・条件２：米国の小学校または中学校に通うお子様がいらっしゃる
・条件３：10月中に１時間ほどお時間割いて頂ける方（早ければ早いほど◯）..."
はじめまして。私はE1ヴィザで赴任しています。こどもが...,,,,ロサンゼルス,生活,"はじめまして。私はE1ヴィザで赴任しています。こどもが先日渡米し、もうすぐ16歳になるので、運転免許を取らせようと思います。しかしこどもはSSNがなく、税務申告用にITINを申請する予定です。LAで運転免許を取りたいがSSNがない場合で取ったご経験のある方がいらっしゃいましたら教えていただければ大変助かります。DMV CA.govのウェブサイトに行っても答えが出ていなく、電話をしても担当部署につながらないので困っています。

どうぞよろしくお願い申し上げます！"
ママ友募集中です！,,,,ポートランド,育児・子育て,２０２０年家族でNYから新しい気持ちでポートランドに引っ越して来た矢先、コロナ旋風がやって来ました（汗）。２歳になる子供もおり、ママ友を探しています。公園でソーシャルディスタンスでのプレイデートでも大歓迎です。ご連絡お待ちしています！
アメリカでの不妊治療事情について,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,育児・子育て,はじめまして。 アメリカでの不妊治療事情について教えていただきたいです。 アメリカで体外受精をするとなると、顕微授精が基本だというのは本当でしょうか？ また、分厚い契約書を交わして治療を始めるそうですが、そこに顕微授精の危険性など書かれているのかどうか知りたいです。 お分かりになる範囲でけっこうです。 アメリカでは不妊治療、特に顕微授精についてどう思われているのか、体外受精だと顕微授精が基本の治療なのか、危険性は言われているのか教えていただきたいです。
ハワイ日本領事館は在ハワイ日本人の犯罪を把握しているのでしょうか？,,,,ホノルル,政治・時事,"自宅待機中に時間があるのでびびなびをすみからすみまで読んでみました。
「ハワイの５７歳女詐欺師」
https://hawaii.vivinavi.com/eb/index/?topic_id=_widg_0ac4cbc38f1d9785edb49bc84f39e2ec205a121915&show=s5
信じられません。

夫のハワイ転勤に伴いハワイに住んで10年ですが、それ以上前から平和で安全なこんな事がハワイで起きていることすら知りませんでした。
日本領事館は海外を拠点に日本人が日本人を騙し、大手新聞の記事や裁判まで起こしている新興宗教の存在を把握できているのでしょうか？..."
少なからず、アメリカでの生活に不便さを感じている方は多...,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,少なからず、アメリカでの生活に不便さを感じている方は多数いるかと思います。私も６年間の北米生活で、アメリカにはない物を、度々日本の家族から宅急便で送ってもらっていました。そこで、皆さんが今何を日本から送ってほしいと思っているのか、何を必要としているのかなどを教えていただきたく思います。 今私は日本にいるため、以前の私自身の経験を活かして、北米に住む皆さんが必要とする物を日本で購入して、郵送することにより、少しでも皆さんの北米生活の助けになれればと思います。
おすすめの私立学校を紹介してください,,,,コロンバス,育児・子育て,郵便番号43016、ダブリン在住の者です。 車で30分以内に通えるおすすめの私立学校がありませんか？子どもは現在5年生で、今からでも編入できるところをお願いします。ちなみに宗教などありません。
ロサンゼルスの小学校の送迎事情,,,,ロサンゼルス,育児・子育て,ロサンゼルスの小学校の送り迎えですが、スクールバスはあるのでしょうか？主人の転勤でロサンゼルスに赴任することになるかもしれないのですが、知人が毎日往復2時間×2回、送り迎えに時間を費やしていると聞いて、それなら単身赴任にしてもらおうかと悩んでおります。もしスクールバスが無い場合でも、ここまで通学の送迎に時間を費やすのは稀なケースなのでしょうか？おしえていただけたらありがたいです。
妊娠、医療保険関してアドバイスお願い致します。,,,,ホノルル,医療,先日高齢出産、双子妊娠が分かりました。旦那様の保険に入れず個人でHMSA保険に入っています。保険の更新を考えていますが、お勧めのプランを教えて頂けたら助かります。クエストも考慮したのですが、Gross収入で入れそうにありません。ローンや月々の支払いでほぼ貯金も出来ずにいる状態なのに、クエストが入れず、どうしたら良いか悩んでいます。よろしくお願い致します。
USPSの配達日数について,,,,ロサンゼルス/サンフランシスコ/ポートランド,配達日数,"Ebayで買い物をしました。
業者はUSPSです。
発送はカルフォルニア州、送り先は転送倉庫があるオレゴン州までを注文しました。
一応、8/31発送、9/4に到着保証だったのですが、未だに転送倉庫まで到着連絡が来ません。

今このコロナ化の中ですとまだまだ掛かりそうですかね。
通常でも守られないものなのでしょうか。

ご回答のほどよろしくお願いいたします。"
年間で日本に帰国する回数を教えてください。 エステは日...,,,,デトロイト/コロンバス/ダラス/ヒューストン,生活,年間で日本に帰国する回数を教えてください。 エステは日本人経営サロンを希望しますか？
おすすめのブランケット,,,,ニューヨーク,生活,こちらではレジャーシートが売っておらず、調べてみると、皆さまブランケットなどを使われているそうですね！ この時期公園で過ごす機会が多く、その時に使える安いブランケットを探しています。 どこで購入されましたか？おすすめのお店等あれば教えていただきたいです！！
高校の課題で１０時間そのひとの仕事場などレポートしなけ...,,,,ニューヨーク,仕事,高校の課題で１０時間そのひとの仕事場などレポートしなければいけないのですがどなたかやらせて頂くことはできますか？
日本人駐在妻の運転免許取得について,,,,ノバイ,生活,"3月からノバイに住んでいます。
コロナの影響で運転免許が取れないままでいて、ずっと国際免許で運転しているのですが、やっとSOSがオープンしました。
試験を受けに行きたいと思っており、でもSOSのホームページは英語でよく分からず、コロナの影響の中、直接行っていいものなのか、、、
大使館のメールではオンラインと予約で～と書いてあったので、一応オンラインで予約してみようと思ったら予約の選択が11月後半が最短になっており、、、これだと保険が切れてしまうんです。

11月に申請の予約をして、試験を受けるという形しかないものなのでしょうか。..."
アルバイト求人の見つけ方を教えてください。,,,,ボストン,仕事,"ボストン郊外在住の主婦です。アルバイト求人を探したいのですが、英語をあまり使わない仕事を希望です。（英語は日常会話がやっとできるレベルで、英語に自信がありません）仕事をするにあたり、英語レベルが低いせいで迷惑をかけたり業務に支障が出たらどうしようと心配です。求人サイトでの検索方法ですが、どのようなキーワード検索をすれば、英語をあまり使用しない求人を探せるでしょうか？"" No English ""などで検索しても該当無しとなってしまいます。手に職はこれといってありません。ご教授よろしくお願いします。"
1人での初海外出張で不安です。,,,,サンディエゴ,観光・レジャー,"7月中旬から2週間、日本からサンディエゴへ出張することになりました。英語もまともにできない人間ですので、かなり不安です。
ただ、フリータイムは楽しみたいと思っております。注意することや1人でも楽しめることをご教示いただけたらと思います。
宿泊はラ・ホーヤ辺りで予定しております。

よろしくお願いいたします。"
はじめまして。夫がコネチカット州に赴任が決まり、私達家...,,,,アトランタ,生活,"はじめまして。夫がコネチカット州に赴任が決まり、私達家族も４月に渡米する予定です。
日本だと新１年生と新３年生の息子達を現地校に通わせたいと思っております。
(日本人学校を検討しておりましたが、費用の面で断念しました)

住まいは、グリニッジ周辺を考えております。

1評判の良い小学校(適度に日本人もいるところ)

2英語を全く話せず理解できない子供が馴染めるのでしょうか

3ペーパードライバーでも、運転は大丈夫でしょうか

4補習校のみだと帰国してからの中学受験は大変でしょうか..."
k1 visa について,,,,フェニックス/アーバイン/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/シカゴ/ボストン/デトロイト/ラスベガス/ニューヨーク/コロンバス/フィラデルフィア/ダラス/シアトル,ビザ,こんにちは！只今K1 visa 申請中で指紋検査して面接するかしないか待っている状況なのですがk1ビザがあと2週間ほどで切れてしまいます。更新など必要なのでしょうか。
Uberの仕様について,,,,ニューヨーク,交通・飛行機,8月13日の夜8時にニューヨークのLGA空港に到着するのですが、Uberを使ってのマンハッタンまでの移動は可能でしょうか？ 時期が時期なので乗車拒否とかされないか心配です。
ボストンらしいギフト,,,,ボストン,生活,"ボストンならではの名産品をギフトとして、昔お世話になったテキサスに住むホストペアレンツに送りたいのですが、何か良いものはないでしょうか?

相手は60代で、食べるのも料理するのも大好きな方々です。できれば、旬の食材(ロブスターとか?)や、簡単に調理して食べられるおかずやお菓子などをあげたいと考えています。

私自身、アメリカは約15年ぶりでして、今度出張でボストンに行くことになりました。国内便であれば、国際便のように税関で食べ物など没収されることもないと思うので、美味しいものを送ってあげたいと思っています。

アイデアをお待ちしております。"
I am planning for a trip to...,,,,ボストン/ダラス,観光・レジャー,I am planning for a trip to Bishop Arts and wondering where I can find the best apartments for rent.
Phoenix引越し予定です,,,,フェニックス,生活,"初めまして、現在アイオワ州在住の３０代の者です。主人と今年末くらいを予定にGilbert,Chandler近辺に引っ越す予定です。Pheonixには一回訪問した事があるのですがあまり知りません。私はカイロプラクターなのでその仕事を探したいのですが、そちらには日本人カイロプラクターはいますか？　またどなたか知っている方がカイロプラクターを雇っていますか？
日本人の方をそちらで一人も知らないので、色々相談させて頂ける方も探しています。

来月の半ば頃に一週間ほど滞在し街やアパートを見て回る予定です。

返信いただければ幸いです。よろしくお願いします。"
もうすぐ三才になる双子の日本語保育園　またはプリスクー...,,,,アトランタ,生活,もうすぐ三才になる双子の日本語保育園　またはプリスクール、サークル、親子で遊ぶを探しています。 居住区レギュー市ですが、ニューストンまで通えます。
オススメの住居エリア / 日本コミュニティーについて教えて下さい,,,,ラスベガス,生活,"去年の4月にアメリカに移住し、約１０ヶ月の娘がおります。
今現在は、オレゴン州に住んでおり、今年の夏にラスベガスへ引越す予定です。
まだ早いですが、子供の学校区も含めて家を探しております。車の免許はなく、取得を考えておりますが、運転は苦手なので買い物や病院に便利な場所がいいなと考えております。

オススメの住居エリアなどございますでしょうか？
私自身でも調べておりますが、実際に住んでらっしゃる皆さまのお話を聞かせて頂きたいです。

また、ラスベガスに知り合いもいないので、日本人コミュニティーや日本人ママ友などのグループはありますでしょうか？..."
少なからず、アメリカでの生活に不便さを感じている方は多...,,,,アトランタ,生活,少なからず、アメリカでの生活に不便さを感じている方は多数いるかと思います。私も６年間の北米生活で、アメリカにはない物を、度々日本の家族から宅急便で送ってもらっていました。そこで、皆さんが今何を日本から送ってほしいと思っているのか、何を必要としているのかなどを教えていただきたく思います。 今私は日本にいるため、以前の私自身の経験を活かして、北米に住む皆さんが必要とする物を日本で購入して、郵送することにより、少しでも皆さんの北米生活の助けになれればと思います。
ミネソタ・ルームメイト募集,,,,ミネアポリス,留学,ミネアポリスでルームメイトになってくれる人を探しています。私は今現在ミネソタに住んでいますが、引っ越す予定があり、これから住もうとしている地域としては、ミネアポリスのダウンタウン、Edina周辺などです。 私自身大学生ですので、学生の方、社会人の方、どちらでも構いません。 きちんと責任を持って衛生面に気をつけ、掃除をして下さるならペット可です。
ジョージア州移住におすすめの都市はありますか？,,,,アトランタ,生活,今年の初夏までに、ニューヨークからジョージア州に引っ越しを予定しています。 主人の両親と弟一家が今年中にメリーランド州からジョージア州に引っ越しを予定しており、私達も今住んでいるニューヨークの賃貸マンションのリースが切れる前にジョージア州に家を購入して、家族の近くに住みたいと考えています。 私はオーガスタに6回ほど、仕事で行った事があるのですが、それ以外のジョージア州の都市は全くの未知です。 オーガスタも、行くときはマスターズゴルフトーナメントの時期なので、その時期以外は全く分かりません。...
NY在住家族の安否確認について,,,,ニューヨーク,日本からの安否確認,70代高齢の母親がブロンクスに一人で父親の遺族年金で生活しています。いつもなら2週間～一月に一度必ず携帯に連絡をくれるのですが3月中旬を最後にまったく連絡がとれません。どうもプリペイド携帯らしく、こちらから連絡してもチャージしてないのかアナウンスが流れ繋がらず。自分もプリペイドなので姉に総領事館に4月末に連絡してもらったのですが「確認で現地に行く事はしていない、もし死亡や事件などあれば病院・警察から連絡くるはずだが連絡が来ていないので連絡くれば教える」と言われただけだそうです。現地に連絡できる友人・知人もおらず、日本からできる安否確認で何か知恵があれば教えて頂けますでしょうか。今、国際書...
アメリカの大学受験時のCSS Profile,,,,アトランタ,生活,日本から派遣されて駐在しています。 息子がアメリカの大学を受験予定です。 学費減免のためのCSS Profileなどの資料の作り方を学びたいと思っているのですが、 どのようにしたらいいでしょうか。 （例えば、年金の価額を書くよう求められますが、厚生年金の現時点での予定年額ならわかりますが、それを書けばいいのか、それともそのｘ年分なのかなど、日米の制度の違いがあってよくわからないのです。） ネットで見つかる情報は、ほとんどがアメリカ市民用のようです。 有益な情報ソースをご存知の方がおられたら、教えていただけたら幸いです。
ハワイで格安で一晩乗り切る方法,,,,アトランタ,生活,ホノルル空港周辺で、格安で野宿など一晩過ごせる場所等はありますでしょうか。 当方、１５日朝にホノルル空港到着なのですが、親族とは１６日合流予定で。。。それまでの時間をどうしようか悩んでいます。ハワイは初めてです。よろしくお願いします。
